Employee_ID,Employee_Name,Department,Manager_ID,Region_ID,Hire_Date,Monthly_Salary,Status
E00137,Aarav Sharma,Customer Support,E00008,R018,2026-01-16,67500,Active
E00138,Aarav Sharma,Sales,E00009,R019,2026-01-17,70000,Active
E00139,Priya Nair,Finance,E00010,R020,2026-01-18,72500,Active
E00140,Divya Menon,Marketing,E00001,R001,2026-01-19,75000,Active
E00141,Neha Singh,Finance,E00002,R002,2026-01-20,77500,Inactive
E00142,Anitha Iyer,Customer Support,E00003,R003,2026-01-21,80000,Active
E00143,Divya Menon,Marketing,E00004,R004,2026-01-22,82500,Active
E00144,Aarav Sharma,Customer Support,E00005,R005,2026-01-23,85000,Active
E00145,Vijay Kumar,Marketing,E00006,R006,2026-01-24,87500,Active
E00146,Priya Nair,Finance,E00007,R007,2026-01-25,90000,Active
E00147,Neha Singh,Customer Support,E00008,R008,2026-01-26,92500,Active
E00148,Priya Nair,Customer Support,E00009,R009,2026-01-27,95000,Active
E00149,Neha Singh,Finance,E00010,R010,2026-01-28,97500,Active
E00150,Vijay Kumar,Marketing,E00001,R011,2026-01-29,25000,Active
E00151,Divya Menon,Marketing,E00002,R012,2026-01-30,27500,Active
E00152,Aarav Sharma,Marketing,E00003,R013,2026-01-31,30000,Active
E00153,Vijay Kumar,Operations,E00004,R014,2026-02-01,32500,Active
E00154,Rahul Verma,Finance,E00005,R015,2026-02-02,35000,Active
E00155,Vijay Kumar,Customer Support,E00006,R016,2026-02-03,37500,Active
E00156,Divya Menon,Marketing,E00007,R017,2026-02-04,40000,Active
E00157,Divya Menon,Operations,E00008,R018,2026-02-05,42500,Active
E00158,Priya Nair,Sales,E00009,R019,2026-02-06,45000,Active
E00159,Arjun Rao,Finance,E00010,R020,2026-02-07,47500,Active
E00160,Anitha Iyer,Sales,E00001,R001,2026-02-08,50000,Active
E00161,Priya Nair,Finance,E00002,R002,2026-02-09,52500,Active
E00162,Arjun Rao,Marketing,E00003,R003,2026-02-10,55000,Active
E00163,Vijay Kumar,Marketing,E00004,R004,2026-02-11,57500,Active
E00164,Neha Singh,Sales,E00005,R005,2026-02-12,60000,Active
E00165,Neha Singh,Sales,E00006,R006,2026-02-13,62500,Active
E00166,Karthik Raj,Customer Support,E00007,R007,2026-02-14,65000,Active
E00167,Anitha Iyer,Customer Support,E00008,R008,2026-02-15,67500,Active
E00168,Rahul Verma,Sales,E00009,R009,2026-02-16,70000,Active
E00169,Divya Menon,Sales,E00010,R010,2026-02-17,72500,Active
E00170,Karthik Raj,Marketing,E00001,R011,2026-02-18,75000,Active
E00171,Anitha Iyer,Operations,E00002,R012,2026-02-19,77500,Active
E00172,Neha Singh,Customer Support,E00003,R013,2026-02-20,80000,Active
E00173,Neha Singh,Sales,E00004,R014,2026-02-21,82500,Active
E00174,Karthik Raj,Marketing,E00005,R015,2026-02-22,85000,Active
E00175,Meera Patel,Operations,E00006,R016,2026-02-23,87500,Active
E00176,Karthik Raj,Operations,E00007,R017,2026-02-24,90000,Active
E00177,Vijay Kumar,Finance,E00008,R018,2026-02-25,92500,Active
E00178,Aarav Sharma,Finance,E00009,R019,2026-02-26,95000,Active
E00179,Aarav Sharma,Sales,E00010,R020,2026-02-27,97500,Active
E00180,Neha Singh,Operations,E00001,R001,2026-02-28,25000,Active
E00181,Divya Menon,Marketing,E00002,R002,2026-03-01,27500,Active
E00182,Neha Singh,Marketing,E00003,R003,2026-03-02,30000,Active
E00183,Neha Singh,Customer Support,E00004,R004,2026-03-03,32500,Active
E00184,Anitha Iyer,Finance,E00005,R005,2026-03-04,35000,Active
E00185,Rahul Verma,Sales,E00006,R006,2026-03-05,37500,Active
E00186,Aarav Sharma,Finance,E00007,R007,2026-03-06,40000,Active
E00187,Neha Singh,Customer Support,E00008,R008,2026-03-07,42500,Active
E00188,Meera Patel,Sales,E00009,R009,2026-03-08,45000,Inactive
E00189,Meera Patel,Marketing,E00010,R010,2026-03-09,47500,Active
E00190,Priya Nair,Finance,E00001,R011,2026-03-10,50000,Active
E00191,Priya Nair,Finance,E00002,R012,2026-03-11,52500,Active
E00192,Divya Menon,Sales,E00003,R013,2026-03-12,55000,Active
E00193,Karthik Raj,Operations,E00004,R014,2026-03-13,57500,Active
E00194,Neha Singh,Customer Support,E00005,R015,2026-03-14,60000,Active
E00195,Vijay Kumar,Finance,E00006,R016,2026-03-15,62500,Active
E00196,Karthik Raj,Sales,E00007,R017,2026-03-16,65000,Active
E00197,Priya Nair,Customer Support,E00008,R018,2026-03-17,67500,Active
E00198,Neha Singh,Customer Support,E00009,R019,2026-03-18,70000,Active
E00199,Divya Menon,Operations,E00010,R020,2026-03-19,72500,Active
E00200,Divya Menon,Operations,E00001,R001,2026-03-20,75000,Active
E00201,Aarav Sharma,Customer Support,E00002,R002,2026-03-21,77500,Active
E00202,Vijay Kumar,Customer Support,E00003,R003,2026-03-22,80000,Active
E00203,Rahul Verma,Operations,E00004,R004,2026-03-23,82500,Active
E00204,Meera Patel,Sales,E00005,R005,2026-03-24,85000,Active
E00205,Vijay Kumar,Marketing,E00006,R006,2026-03-25,87500,Active
E00206,Aarav Sharma,Customer Support,E00007,R007,2026-03-26,90000,Active
E00207,Meera Patel,Operations,E00008,R008,2026-03-27,92500,Active
E00208,Divya Menon,Finance,E00009,R009,2026-03-28,95000,Active
E00209,Meera Patel,Customer Support,E00010,R010,2026-03-29,97500,Active
E00210,Vijay Kumar,Sales,E00001,R011,2026-03-30,25000,Active
E00211,Vijay Kumar,Customer Support,E00002,R012,2026-03-31,27500,Active
E00212,Vijay Kumar,Customer Support,E00003,R013,2026-04-01,30000,Active
E00213,Aarav Sharma,Customer Support,E00004,R014,2026-04-02,32500,Active
E00214,Arjun Rao,Marketing,E00005,R015,2026-04-03,35000,Active
E00215,Divya Menon,Marketing,E00006,R016,2026-04-04,37500,Active
E00216,Meera Patel,Sales,E00007,R017,2026-04-05,40000,Active
E00217,Meera Patel,Finance,E00008,R018,2026-04-06,42500,Active
E00218,Anitha Iyer,Sales,E00009,R019,2026-04-07,45000,Active
E00219,Karthik Raj,Customer Support,E00010,R020,2026-04-08,47500,Active
E00220,Rahul Verma,Finance,E00001,R001,2026-04-09,50000,Active
E00221,Arjun Rao,Customer Support,E00002,R002,2026-04-10,52500,Active
E00222,Rahul Verma,Finance,E00003,R003,2026-04-11,55000,Active
E00223,Anitha Iyer,Operations,E00004,R004,2026-04-12,57500,Active
E00224,Rahul Verma,Finance,E00005,R005,2026-04-13,60000,Active
E00225,Arjun Rao,Sales,E00006,R006,2026-04-14,62500,Active
E00226,Divya Menon,Sales,E00007,R007,2026-04-15,65000,Active
E00227,Meera Patel,Operations,E00008,R999,2026-04-16,67500,Active
E00228,Vijay Kumar,Customer Support,E00009,R009,2026-04-17,70000,Active
E00229,Aarav Sharma,Customer Support,E00010,R010,2026-04-18,72500,Active
E00230,Rahul Verma,Sales,E00001,R011,2026-04-19,75000,Active
E00231,Aarav Sharma,Finance,E00002,R012,2026-04-20,77500,Active
E00232,Priya Nair,Finance,E00003,R013,2026-04-21,80000,Active
E00233,Aarav Sharma,Customer Support,E00004,R014,2026-04-22,82500,Active
E00234,Anitha Iyer,Operations,E00005,R015,2026-04-23,85000,Active
E00235,Aarav Sharma,Finance,E00006,R016,2026-04-24,87500,Inactive
E00236,Anitha Iyer,Customer Support,E00007,R017,2026-04-25,90000,Active
E00237,Arjun Rao,Finance,E00008,R018,2026-04-26,92500,Active
E00238,Priya Nair,Marketing,E00009,R019,2026-04-27,95000,Active
E00239,Priya Nair,Customer Support,E00010,R020,2026-04-28,97500,Active
E00240,Karthik Raj,Operations,E00001,R001,2026-04-29,25000,Active
E00241,Neha Singh,Marketing,E00002,R002,2026-04-30,27500,Active
E00242,Meera Patel,Marketing,E00003,R003,2026-05-01,30000,Active
E00243,Divya Menon,Finance,E00004,R004,2026-05-02,32500,Active
E00244,Anitha Iyer,Sales,E00005,R005,2026-05-03,35000,Active
E00245,Arjun Rao,Operations,E00006,R006,2026-05-04,37500,Active
E00246,Priya Nair,Customer Support,E00007,R007,2026-05-05,40000,Active
E00247,Meera Patel,Sales,E00008,R008,2026-05-06,42500,Active
E00248,Arjun Rao,Marketing,E00009,R009,2026-05-07,45000,Active
E00249,Meera Patel,Customer Support,E00010,R010,2026-05-08,47500,Active
E00250,Neha Singh,Customer Support,E00001,R011,2026-05-09,50000,Active
E00252,Rahul Verma,Finance,E00003,R013,2026-05-11,55000,Active
E00253,Arjun Rao,Sales,E00004,R014,2026-05-12,57500,Active
E00254,Aarav Sharma,Finance,E00005,R015,2026-05-13,60000,Active
E00255,Aarav Sharma,Finance,E00006,R016,2026-05-14,62500,Active
E00256,Arjun Rao,Customer Support,E00007,R017,2026-05-15,65000,Active
E00257,Karthik Raj,Operations,E00008,R018,2026-05-16,67500,Active
E00258,Rahul Verma,Marketing,E00009,R019,2026-05-17,70000,Active
E00259,Divya Menon,Finance,E00010,R020,2026-05-18,72500,Active
E00260,Priya Nair,Operations,E00001,R001,2026-05-19,75000,Active
E00261,Anitha Iyer,Operations,E00002,R002,2026-05-20,77500,Active
E00262,Divya Menon,Operations,E00003,R003,2026-05-21,80000,Active
E00263,Karthik Raj,Marketing,E00004,R004,2026-05-22,82500,Active
E00264,Vijay Kumar,Finance,E00005,R005,2026-05-23,85000,Active
E00265,Arjun Rao,Finance,E00006,R006,2026-05-24,87500,Active
E00266,Anitha Iyer,Finance,E00007,R007,2026-05-25,90000,Active
E00267,Divya Menon,Finance,E00008,R008,2026-05-26,92500,Active
E00268,Meera Patel,Operations,E00009,R009,2026-05-27,95000,Active
E00269,Rahul Verma,Customer Support,E00010,R010,2026-05-28,97500,Active
E00270,Neha Singh,Sales,E00001,R011,2026-05-29,25000,Active
E00271,Priya Nair,Operations,E00002,R012,2026-05-30,27500,Active
E00272,Neha Singh,Operations,E00003,R013,2026-05-31,30000,Active
E00273,Arjun Rao,Operations,E00004,R014,2026-06-01,32500,Active
E00274,Divya Menon,Sales,E00005,R015,2026-06-02,35000,Active
E00275,Rahul Verma,Marketing,E00006,R016,2026-06-03,37500,Active
E00276,Anitha Iyer,Sales,E00007,R017,2026-06-04,40000,Active
E00277,Meera Patel,Finance,E00008,R018,2026-06-05,42500,Active
E00278,Divya Menon,Finance,E00009,R019,2026-06-06,45000,Active
E00279,Arjun Rao,Finance,E00010,R020,2026-06-07,47500,Active
E00280,Karthik Raj,Customer Support,E00001,R001,2026-06-08,50000,Active
E00281,Priya Nair,Finance,E00002,R002,2026-06-09,52500,Active
E00282,Neha Singh,Marketing,E00003,R003,2026-06-10,55000,Inactive
E00283,Rahul Verma,Sales,E00004,R004,2026-06-11,57500,Active
E00284,Meera Patel,Sales,E00005,R005,2026-06-12,60000,Active
E00285,Rahul Verma,Marketing,E00006,R006,2026-06-13,62500,Active
E00286,Aarav Sharma,Marketing,E00007,R007,2026-06-14,65000,Active
E00287,Meera Patel,Sales,E00008,R008,2026-06-15,67500,Active
E00288,Rahul Verma,Sales,E00009,R009,2026-06-16,70000,Active
E00289,Meera Patel,Operations,E00010,R010,2026-06-17,72500,Active
E00290,Vijay Kumar,Marketing,E00001,R011,2026-06-18,75000,Active
E00291,Anitha Iyer,Operations,E00002,R012,2026-06-19,77500,Active
E00292,Karthik Raj,Sales,E00003,R013,2026-06-20,80000,Active
E00293,Divya Menon,Sales,E00004,R014,2026-06-21,82500,Active
E00294,Karthik Raj,Operations,E00005,R015,2026-06-22,85000,Active
E00295,Rahul Verma,Operations,E00006,R016,2026-06-23,87500,Active
E00296,Arjun Rao,Sales,E00007,R017,2026-06-24,90000,Active
E00297,Anitha Iyer,Sales,E00008,R018,2026-06-25,92500,Active
E00298,Vijay Kumar,Sales,E00009,R019,2026-06-26,95000,Active
E00299,Vijay Kumar,Customer Support,E00010,R020,2026-06-27,97500,Active
E00300,Meera Patel,Sales,E00001,R001,2026-06-28,25000,Active
E00301,Anitha Iyer,Marketing,E00002,R002,2026-06-29,27500,Active
E00302,Arjun Rao,Operations,E00003,R003,2026-06-30,30000,Active
E00303,Priya Nair,Customer Support,E00004,R004,2026-07-01,32500,Active
E00304,Aarav Sharma,Finance,E00005,R005,2026-07-02,35000,Active
E00305,Neha Singh,Customer Support,E00006,R006,2026-07-03,37500,Active
E00306,Anitha Iyer,Marketing,E00007,R007,2026-07-04,40000,Active
E00307,Rahul Verma,Operations,E00008,R008,2026-07-05,42500,Active
E00308,Karthik Raj,Sales,E00009,R009,2026-07-06,45000,Active
E00309,Divya Menon,Customer Support,E00010,R010,2026-07-07,47500,Active
E00310,Vijay Kumar,Marketing,E00001,R011,2026-07-08,50000,Active
E00311,Vijay Kumar,Operations,E00002,R012,2026-07-09,52500,Active
E00312,Arjun Rao,Sales,E00003,R013,2026-07-10,55000,Active
E00313,Meera Patel,Operations,E00004,R014,2026-07-11,57500,Active
E00314,Aarav Sharma,Customer Support,E00005,R015,2026-07-12,60000,Active
E00315,Neha Singh,Finance,E00006,R016,2026-07-13,62500,Active
E00316,Meera Patel,Sales,E00007,R017,2026-07-14,65000,Active
E00317,Arjun Rao,Operations,E00008,R018,2026-07-15,67500,Active
E00318,Neha Singh,Customer Support,E00009,R019,2026-07-16,70000,Active
E00319,Aarav Sharma,Sales,E00010,R020,2026-07-17,72500,Active
E00320,Priya Nair,Finance,E00001,R001,2026-07-18,75000,Active
E00321,Karthik Raj,Customer Support,E00002,R002,2026-07-19,77500,Active
E00322,Arjun Rao,Sales,E00003,R003,2026-07-20,80000,Active
E00323,Karthik Raj,Finance,E00004,R004,2026-07-21,82500,Active
E00324,Vijay Kumar,Customer Support,E00005,R005,2026-07-22,85000,Active
E00325,Anitha Iyer,Operations,E00006,R006,2026-07-23,87500,Active
E00326,Meera Patel,Operations,E00007,R007,2026-07-24,90000,Active
E00327,Divya Menon,Finance,E00008,R008,2026-07-25,92500,Active
E00328,Aarav Sharma,Marketing,E00009,R009,2026-07-26,95000,Active
E00329,Arjun Rao,Sales,E00010,R010,2026-07-27,97500,Inactive
E00330,Meera Patel,Finance,E00001,R011,2026-07-28,25000,Active
E00331,Rahul Verma,Sales,E00002,R012,2026-07-29,27500,Active
E00332,Priya Nair,Finance,E00003,R013,2026-07-30,30000,Active
E00333,Neha Singh,Marketing,E00004,R014,2026-07-31,32500,Active
E00334,Divya Menon,Marketing,E00005,R015,2026-08-01,35000,Active
E00335,Karthik Raj,Finance,E00006,R016,2026-08-02,37500,Active
E00336,Rahul Verma,Customer Support,E00007,R017,2026-08-03,40000,Active
E00337,Karthik Raj,Sales,E00008,R018,2026-08-04,42500,Active
E00338,Priya Nair,Operations,E00009,R019,2026-08-05,45000,Active
E00339,Meera Patel,Customer Support,E00010,R020,2026-08-06,47500,Active
E00340,Divya Menon,Customer Support,E00001,R001,2026-08-07,50000,Active
E00341,Rahul Verma,Customer Support,E00002,R002,2026-08-08,52500,Active
E00342,Aarav Sharma,Operations,E00003,R003,2026-08-09,55000,Active
E00343,Vijay Kumar,Finance,E00004,R004,2026-08-10,57500,Active
E00344,Arjun Rao,Marketing,E00005,R005,2026-08-11,60000,Active
E00345,Priya Nair,Operations,E00006,R006,2026-08-12,62500,Active
E00346,Arjun Rao,Marketing,E00007,R007,2026-08-13,65000,Active
E00347,Meera Patel,Marketing,E00008,R008,2026-08-14,67500,Active
E00348,Meera Patel,Sales,E00009,R009,2026-08-15,70000,Active
E00349,Priya Nair,Operations,E00010,R010,2026-08-16,72500,Active
E00350,Aarav Sharma,Marketing,E00001,R011,2026-08-17,75000,Active
E00351,Vijay Kumar,Finance,E00002,R012,2026-08-18,77500,Active
E00352,Neha Singh,Sales,E00003,R013,2026-08-19,80000,Active
E00353,Aarav Sharma,Customer Support,E00004,R014,2026-08-20,82500,Active
E00354,Divya Menon,Sales,E00005,R015,2026-08-21,85000,Active
E00355,Karthik Raj,Operations,E00006,R016,2026-08-22,87500,Active
E00356,Meera Patel,Marketing,E00007,R017,2026-08-23,90000,Active
E00357,Priya Nair,Customer Support,E00008,R018,2026-08-24,92500,Active
E00358,Arjun Rao,Operations,E00009,R019,2026-08-25,95000,Active
E00359,Neha Singh,Sales,E00010,R020,2026-08-26,97500,Active
E00360,Neha Singh,Finance,E00001,R001,2026-08-27,25000,Active
E00361,Rahul Verma,Marketing,E00002,R002,2026-08-28,27500,Active
E00362,Neha Singh,Marketing,E00003,R003,2026-08-29,30000,Active
E00363,Divya Menon,Marketing,E00004,R004,2026-08-30,32500,Active
E00364,Karthik Raj,Marketing,E00005,R005,2026-08-31,35000,Active
E00365,Neha Singh,Marketing,E00006,R006,2025-09-01,37500,Active
E00366,Divya Menon,Finance,E00007,R007,2025-09-02,40000,Active
E00367,Divya Menon,Customer Support,E00008,R008,2025-09-03,42500,Active
E00368,Aarav Sharma,Marketing,E00009,R009,2025-09-04,45000,Active
E00369,Karthik Raj,Finance,E00010,R010,2025-09-05,47500,Active
E00370,Meera Patel,Sales,E00001,R011,2025-09-06,50000,Active
E00371,Aarav Sharma,Operations,E00002,R012,2025-09-07,52500,Active
E00372,Divya Menon,Finance,E00003,R013,2025-09-08,55000,Active
E00373,Priya Nair,Operations,E00004,R014,2025-09-09,57500,Active
E00374,Karthik Raj,Marketing,E00005,R015,2025-09-10,60000,Active
E00375,Divya Menon,Marketing,E00006,R016,2025-09-11,62500,Active
E00376,Anitha Iyer,Sales,E00007,R017,2025-09-12,65000,Inactive
E00377,Meera Patel,Customer Support,E00008,R018,2025-09-13,67500,Active
E00378,Rahul Verma,Marketing,E00009,R019,2025-09-14,70000,Active
E00379,Rahul Verma,Operations,E00010,R020,2025-09-15,72500,Active
E00380,Aarav Sharma,Marketing,E00001,R001,2025-09-16,75000,Active
E00381,Aarav Sharma,Marketing,E00002,R002,2025-09-17,77500,Active
E00382,Vijay Kumar,Sales,E00003,R003,2025-09-18,80000,Active
