Issue_ID,Department,Issue_Type,Entity_ID,Entity_Name,Metric,Actual_Value,Expected_Value,Variance,Priority,Root_Cause,Financial_Impact,Recommended_Action,Source,Report_Date
ISSUE-00022,Inventory,Critical Anomaly,P00560-W020-2026-03-14,Inventory Record,Anomaly Score,98.82,60.0,38.82,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1649970.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00023,Inventory,Critical Anomaly,P00560-W020-2026-06-02,Inventory Record,Anomaly Score,98.82,60.0,38.82,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1649970.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00024,Inventory,Critical Anomaly,P00060-W020-2026-04-08,Inventory Record,Anomaly Score,98.95,60.0,38.95,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1643180.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00025,Inventory,Critical Anomaly,P00060-W020-2025-11-14,Inventory Record,Anomaly Score,98.95,60.0,38.95,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1643180.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00026,Inventory,Critical Anomaly,P00560-W020-2026-07-27,Inventory Record,Anomaly Score,98.95,60.0,38.95,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1643180.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00027,Inventory,Critical Anomaly,P00560-W020-2026-05-23,Inventory Record,Anomaly Score,98.8,60.0,38.8,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1643180.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00028,Inventory,Critical Anomaly,P00060-W020-2026-06-27,Inventory Record,Anomaly Score,98.61,60.0,38.61,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1643180.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00029,Inventory,Critical Anomaly,P00560-W020-2026-03-04,Inventory Record,Anomaly Score,98.61,60.0,38.61,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1643180.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00030,Inventory,Critical Anomaly,P00560-W020-2025-10-15,Inventory Record,Anomaly Score,98.61,60.0,38.61,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1643180.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00031,Inventory,Critical Anomaly,P00060-W020-2026-03-29,Inventory Record,Anomaly Score,98.94,60.0,38.94,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1636390.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00032,Inventory,Critical Anomaly,P00560-W020-2025-12-09,Inventory Record,Anomaly Score,98.94,60.0,38.94,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1636390.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00033,Inventory,Critical Anomaly,P00560-W020-2026-07-17,Inventory Record,Anomaly Score,98.94,60.0,38.94,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1636390.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00034,Inventory,Critical Anomaly,P00060-W020-2026-01-23,Inventory Record,Anomaly Score,98.78,60.0,38.78,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1636390.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00035,Inventory,Critical Anomaly,P00560-W020-2025-10-05,Inventory Record,Anomaly Score,98.6,60.0,38.6,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1636390.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00036,Inventory,Critical Anomaly,P00060-W020-2025-11-04,Inventory Record,Anomaly Score,98.6,60.0,38.6,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1636390.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00037,Inventory,Critical Anomaly,P00060-W020-2026-06-17,Inventory Record,Anomaly Score,98.6,60.0,38.6,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1636390.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00038,Inventory,Critical Anomaly,P00560-W020-2026-02-27,Inventory Record,Anomaly Score,98.6,60.0,38.6,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1636390.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00039,Inventory,Critical Anomaly,P00560-W020-2025-11-29,Inventory Record,Anomaly Score,98.92,60.0,38.92,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1629600.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00040,Inventory,Critical Anomaly,P00060-W020-2026-03-19,Inventory Record,Anomaly Score,98.92,60.0,38.92,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1629600.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00041,Inventory,Critical Anomaly,P00060-W020-2026-08-26,Inventory Record,Anomaly Score,98.77,60.0,38.77,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1629600.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00042,Inventory,Critical Anomaly,P00560-W020-2026-05-08,Inventory Record,Anomaly Score,98.77,60.0,38.77,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1629600.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00043,Inventory,Critical Anomaly,P00560-W020-2025-09-25,Inventory Record,Anomaly Score,98.77,60.0,38.77,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1629600.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00044,Inventory,Critical Anomaly,P00060-W020-2026-01-18,Inventory Record,Anomaly Score,98.77,60.0,38.77,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1629600.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00045,Inventory,Critical Anomaly,P00560-W020-2025-12-14,Inventory Record,Anomaly Score,98.77,60.0,38.77,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1629600.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00046,Inventory,Critical Anomaly,P00560-W020-2026-02-17,Inventory Record,Anomaly Score,98.58,60.0,38.58,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1629600.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00047,Inventory,Critical Anomaly,P00560-W020-2026-07-07,Inventory Record,Anomaly Score,98.58,60.0,38.58,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1629600.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00048,Inventory,Critical Anomaly,P00060-W020-2025-10-30,Inventory Record,Anomaly Score,98.58,60.0,38.58,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1629600.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00049,Inventory,Critical Anomaly,P00060-W020-2026-06-07,Inventory Record,Anomaly Score,98.58,60.0,38.58,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1629600.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00050,Inventory,Critical Anomaly,P00060-W020-2026-08-16,Inventory Record,Anomaly Score,98.74,60.0,38.74,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1622810.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00051,Inventory,Critical Anomaly,P00060-W020-2026-01-08,Inventory Record,Anomaly Score,98.54,60.0,38.54,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1622810.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00052,Inventory,Critical Anomaly,P00560-W020-2026-04-28,Inventory Record,Anomaly Score,98.54,60.0,38.54,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1622810.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00053,Inventory,Critical Anomaly,P00560-W020-2026-02-07,Inventory Record,Anomaly Score,98.54,60.0,38.54,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1622810.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00054,Inventory,Critical Anomaly,P00060-W020-2025-10-20,Inventory Record,Anomaly Score,98.54,60.0,38.54,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1622810.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00055,Inventory,Critical Anomaly,P00060-W020-2026-05-28,Inventory Record,Anomaly Score,98.54,60.0,38.54,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1622810.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00056,Inventory,Critical Anomaly,P00559-W019-2026-04-02,Inventory Record,Anomaly Score,99.0,60.0,39.0,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1616560.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00057,Inventory,Critical Anomaly,P00059-W019-2026-07-21,Inventory Record,Anomaly Score,99.0,60.0,39.0,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1616560.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00058,Inventory,Critical Anomaly,P00559-W019-2025-11-08,Inventory Record,Anomaly Score,98.73,60.0,38.73,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1616560.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00059,Inventory,Critical Anomaly,P00059-W019-2026-02-26,Inventory Record,Anomaly Score,98.73,60.0,38.73,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1616560.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00060,Inventory,Critical Anomaly,P00560-W020-2026-04-18,Inventory Record,Anomaly Score,98.72,60.0,38.72,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1616020.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00061,Inventory,Critical Anomaly,P00060-W020-2025-12-29,Inventory Record,Anomaly Score,98.52,60.0,38.52,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1616020.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00062,Inventory,Critical Anomaly,P00060-W020-2025-10-10,Inventory Record,Anomaly Score,98.52,60.0,38.52,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1616020.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00063,Inventory,Critical Anomaly,P00060-W020-2026-05-18,Inventory Record,Anomaly Score,98.52,60.0,38.52,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1616020.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00064,Inventory,Critical Anomaly,P00560-W020-2026-06-22,Inventory Record,Anomaly Score,98.52,60.0,38.52,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1616020.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00065,Inventory,Critical Anomaly,P00560-W020-2025-09-10,Inventory Record,Anomaly Score,98.52,60.0,38.52,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1616020.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00066,Inventory,Critical Anomaly,P00560-W020-2026-01-28,Inventory Record,Anomaly Score,98.52,60.0,38.52,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1616020.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00067,Inventory,Critical Anomaly,P00059-W019-2025-12-03,Inventory Record,Anomaly Score,98.89,60.0,38.89,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1609880.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00068,Inventory,Critical Anomaly,P00559-W019-2026-03-23,Inventory Record,Anomaly Score,98.89,60.0,38.89,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1609880.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00069,Inventory,Critical Anomaly,P00059-W019-2026-07-11,Inventory Record,Anomaly Score,98.71,60.0,38.71,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1609880.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00070,Inventory,Critical Anomaly,P00559-W019-2025-10-29,Inventory Record,Anomaly Score,98.71,60.0,38.71,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1609880.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00071,Inventory / Data Quality,Negative Inventory,P00560,Office Supplies Product 0560,Closing Stock,-237.0,0.0,-237.0,Critical,"Inventory movements are missing, duplicated, incorrectly sequenced or not reconciled.",1609230.0,"Reconcile physical stock with purchases, sales, returns and warehouse movements.",Inventory Analysis,2026-09-16
ISSUE-00072,Inventory,Critical Anomaly,P00060-W020-2025-12-19,Inventory Record,Anomaly Score,98.69,60.0,38.69,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1609230.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00073,Inventory,Critical Anomaly,P00560-W020-2026-04-08,Inventory Record,Anomaly Score,98.69,60.0,38.69,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1609230.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00074,Inventory,Critical Anomaly,P00060-W020-2026-05-13,Inventory Record,Anomaly Score,98.5,60.0,38.5,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1609230.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00075,Inventory,Critical Anomaly,P00060-W020-2025-09-30,Inventory Record,Anomaly Score,98.5,60.0,38.5,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1609230.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00076,Inventory,Critical Anomaly,P00560-W020-2026-06-12,Inventory Record,Anomaly Score,98.5,60.0,38.5,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1609230.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00077,Inventory,Critical Anomaly,P00560-W020-2026-08-31,Inventory Record,Anomaly Score,98.5,60.0,38.5,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1609230.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00078,Inventory,Critical Anomaly,P00560-W020-2026-01-18,Inventory Record,Anomaly Score,98.5,60.0,38.5,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1609230.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00079,Inventory,Critical Anomaly,P00060-W020-2026-02-22,Inventory Record,Anomaly Score,98.5,60.0,38.5,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1609230.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
